Date and time,Mode,Distance,Duration,Price
2022-10-30 16:37,Bus,1.2,0.04,2.0
2022-09-02 17:46,Bus,3.9,0.15,2.0
2022-03-27 14:51,Bus,11.9,0.72,2.0
2022-11-07 18:09,Bus,4.8,0.23,2.0
2022-12-26 19:00,Bus,6.2,0.24,2.0
2022-03-21 16:48,Bus,2.6,0.13,2.0
2022-11-14 08:34,Bus,6.8,0.3,2.0
2022-03-16 22:41,Bus,2.2,0.07,2.0
2022-03-25 23:42,Bus,1.6,0.07,2.0
2022-07-23 21:29,Bus,6.4,0.25,2.0
2022-07-19 17:58,Bus,2.3,0.15,2.0
2022-09-18 22:11,Bus,2.5,0.1,2.0
2022-05-23 17:35,Bus,0.7,0.03,2.0
2022-06-15 20:24,Bus,0.9,0.04,2.0
2022-09-16 22:35,Bus,6.7,0.22,2.0
2022-03-19 12:22,Bus,4.7,0.19,2.0
2022-02-08 14:31,Bus,8.6,0.26,2.0
2022-06-17 09:45,Bus,2.7,0.1,2.0
2022-04-29 19:48,Bus,11.7,0.53,2.0
2022-06-25 21:45,Bus,1.4,0.04,2.0
2022-10-04 10:43,Bus,5.2,0.23,2.0
2022-02-18 19:29,Bus,7.2,0.28,2.0
2022-01-01 16:52,Bus,1.7,0.07,2.0
2022-10-31 10:19,Bus,9.2,0.42,2.0
2022-12-14 07:32,Bus,2.3,0.08,2.0
2022-01-26 19:00,Bus,5.0,0.2,2.0
2022-11-24 18:17,Bus,2.4,0.13,2.0
2022-02-16 08:58,Bus,5.3,0.31,2.0
2022-02-16 10:54,Bus,4.8,0.2,2.0
2022-01-02 14:38,Bus,16.3,0.74,2.0
2022-03-21 08:59,Bus,5.9,0.61,2.0
2022-07-23 15:50,Bus,4.4,0.18,2.0
2022-03-08 21:35,Bus,3.5,0.14,2.0
2022-08-16 13:37,Bus,8.0,0.3,2.0
2022-06-21 09:55,Bus,15.8,0.61,2.0
2022-10-17 16:41,Bus,5.3,0.23,2.0
2022-01-06 06:42,Bus,5.1,0.19,2.0
2022-02-22 15:58,Bus,2.8,0.11,2.0
2022-10-22 22:44,Bus,4.5,0.18,2.0
2022-05-17 18:51,Bus,5.6,0.29,2.0
2022-09-01 18:52,Bus,3.0,0.16,2.0
2022-11-25 21:13,Bus,1.3,0.06,2.0
2022-07-06 15:53,Bus,14.3,0.51,2.0
2022-12-20 09:55,Bus,2.2,0.09,2.0
2022-03-13 22:24,Bus,5.2,0.2,2.0
2022-10-09 23:50,Bus,8.8,0.34,2.0
2022-06-03 19:08,Bus,3.4,0.12,2.0
2022-09-25 19:15,Bus,2.7,0.1,2.0
2022-08-07 08:52,Bus,7.7,0.27,2.0
2022-10-27 16:30,Bus,5.6,0.27,2.0
2022-02-25 14:16,Bus,11.1,0.44,2.0
2022-04-27 09:27,Bus,7.2,0.3,2.0
2022-04-30 13:39,Bus,2.2,0.1,2.0
2022-04-08 15:01,Bus,10.3,0.42,2.0
2022-10-11 09:33,Bus,5.3,0.22,2.0
2022-09-26 13:48,Bus,8.0,0.36,2.0
2022-02-03 09:41,Bus,2.8,0.09,2.0
2022-02-08 14:22,Bus,9.7,0.39,2.0
2022-04-28 09:09,Bus,1.3,0.05,2.0
2022-04-06 14:34,Bus,4.3,0.22,2.0
2022-12-27 17:50,Bus,4.2,0.13,2.0
2022-06-15 16:10,Bus,5.1,0.18,2.0
2022-01-20 23:21,Bus,2.5,0.08,2.0
2022-03-02 16:39,Bus,2.9,0.08,2.0
2022-05-01 14:12,Bus,10.7,0.56,2.0
2022-10-10 22:46,Bus,5.7,0.26,2.0
2022-12-08 19:39,Bus,5.1,0.21,2.0
2022-04-18 21:05,Bus,7.5,0.29,2.0
2022-10-09 09:52,Bus,5.2,0.17,2.0
2022-05-06 22:02,Bus,1.3,0.06,2.0
2022-05-27 21:48,Bus,4.4,0.17,2.0
2022-02-24 11:39,Bus,1.3,0.04,2.0
2022-03-07 18:07,Bus,8.2,0.37,2.0
2022-11-10 18:15,Bus,6.7,0.26,2.0
2022-01-18 19:54,Bus,2.4,0.08,2.0
2022-10-17 08:03,Bus,6.1,0.3,2.0
2022-12-22 18:17,Bus,2.8,0.1,2.0
2022-06-10 22:36,Bus,6.2,0.26,2.0
2022-01-12 20:00,Bus,4.0,0.14,2.0
2022-01-26 19:56,Bus,0.8,0.03,2.0
2022-08-21 07:12,Bus,9.2,0.53,2.0
2022-07-14 18:03,Bus,2.0,0.08,2.0
2022-01-27 07:20,Bus,2.3,0.08,2.0
2022-08-06 12:23,Bus,11.0,0.44,2.0
2022-10-14 20:31,Bus,2.7,0.1,2.0
2022-11-19 13:17,Bus,7.7,0.33,2.0
2022-07-13 20:08,Bus,9.5,0.46,2.0
2022-11-27 12:04,Bus,4.0,0.15,2.0
2022-02-11 09:34,Bus,9.0,0.31,2.0
2022-11-21 07:16,Bus,1.4,0.05,2.0
2022-06-08 18:11,Bus,5.0,0.16,2.0
2022-11-17 16:53,Bus,3.1,0.14,2.0
2022-06-29 19:05,Bus,1.2,0.05,2.0
2022-02-17 18:20,Bus,10.8,0.47,2.0
2022-10-19 18:10,Bus,2.0,0.07,2.0
2022-03-02 20:52,Bus,12.8,0.5,2.0
2022-12-09 07:18,Bus,7.1,0.49,2.0
2022-10-21 20:03,Bus,3.5,0.21,2.0
2022-03-23 18:37,Bus,4.9,0.21,2.0
2022-02-21 20:16,Bus,10.0,0.39,2.0
2022-07-11 16:05,Bus,5.9,0.22,2.0
2022-01-07 19:50,Bus,4.4,0.18,2.0
2022-04-04 20:05,Bus,6.9,0.23,2.0
2022-12-01 21:48,Bus,5.6,0.23,2.0
2022-11-07 10:56,Bus,3.3,0.13,2.0
2022-01-14 19:14,Bus,4.9,0.21,2.0
2022-09-15 17:57,Bus,5.1,0.23,2.0
2022-09-22 18:40,Bus,3.8,0.14,2.0
2022-04-22 09:44,Bus,4.0,0.13,2.0
2022-02-17 21:42,Bus,9.3,0.36,2.0
2022-01-25 10:16,Bus,2.1,0.08,2.0
2022-01-03 20:52,Bus,3.3,0.13,2.0
2022-12-27 20:18,Bus,3.1,0.13,2.0
2022-03-04 20:57,Bus,3.9,0.15,2.0
2022-03-29 09:54,Bus,7.4,0.49,2.0
2022-04-29 17:02,Bus,4.7,0.24,2.0
2022-02-26 14:29,Bus,1.4,0.06,2.0
2022-09-14 18:52,Bus,15.8,0.58,2.0
2022-05-07 13:26,Bus,0.9,0.04,2.0
2022-01-29 13:07,Bus,1.7,0.09,2.0
2022-02-11 06:25,Bus,2.9,0.09,2.0
2022-06-17 09:55,Bus,2.8,0.15,2.0
2022-12-06 14:21,Bus,10.8,0.42,2.0
2022-04-22 22:38,Bus,5.1,0.34,2.0
2022-10-20 19:34,Bus,5.0,0.23,2.0
